Op Number,Percent Completion (Old),Time (ms),Old (bytes),Initial,Time (ms),Iterator (bytes),Percent Completion (Iterator),Iterator Ops,Time (ms),Percent Completion (8bit),New (bytes),uint8_t Buffers
130,0.81%,11870,173146880,165.12573,5276,173146880,3%,165.12573,5055,3%,146014976,139.25073
131,0.81%,11870,173671168,165.62573,5276,173671168,3%,165.62573,5055,3%,146539264,139.75073
132,0.82%,11870,174195456,166.12573,5276,174195456,3%,166.12573,5055,3%,147063552,140.25073
133,0.83%,11870,174719744,166.62573,5276,174719744,3%,166.62573,5055,3%,147587840,140.75073
134,0.83%,11870,175244032,167.12573,5276,175244032,3%,167.12573,5055,3%,148112128,141.25073
135,0.84%,11870,184681216,176.12573,5277,184681216,3%,176.12573,5056,3%,157549312,150.25073
136,0.85%,11871,194118400,185.12573,5277,194118400,3%,185.12573,5056,3%,166986496,159.25073
137,0.85%,11871,194120448,185.12769,5277,194120448,3%,185.12769,5056,3%,166988544,159.25269
138,0.86%,11871,194122496,185.12964,5277,194122496,3%,185.12964,5056,3%,166990592,159.25464
139,0.86%,11871,194646784,185.62964,5277,194646784,3%,185.62964,5056,3%,167514880,159.75464
140,0.87%,11871,195171072,186.12964,5277,195171072,3%,186.12964,5056,3%,168039168,160.25464
141,0.88%,11871,195695360,186.62964,5277,195695360,3%,186.62964,5056,3%,168563456,160.75464
142,0.88%,11871,196219648,187.12964,5278,196219648,3%,187.12964,5057,3%,169087744,161.25464
143,0.89%,11933,196743936,187.62964,5340,196743936,3%,187.62964,5120,3%,169218816,161.37964
144,0.90%,11933,197268224,188.12964,5340,197268224,3%,188.12964,5120,3%,169349888,161.50464
145,0.90%,11933,197792512,188.62964,5340,197792512,3%,188.62964,5120,3%,169874176,162.00464
146,0.91%,11933,198316800,189.12964,5340,198316800,3%,189.12964,5121,3%,170398464,162.50464
147,0.91%,11933,198841088,189.62964,5340,198841088,3%,189.62964,5121,3%,170922752,163.00464
148,0.92%,11933,199365376,190.12964,5340,199365376,3%,190.12964,5121,3%,171447040,163.50464
149,0.93%,11933,208802560,199.12964,5341,208802560,3%,199.12964,5121,3%,180884224,172.50464
150,0.93%,11934,218239744,208.12964,5341,218239744,4%,208.12964,5121,3%,190321408,181.50464
151,0.94%,11934,218241792,208.13159,5341,218241792,4%,208.13159,5121,4%,190323456,181.50659
152,0.95%,11934,218243840,208.13354,5341,218243840,4%,208.13354,5121,4%,190325504,181.50854
153,0.95%,11934,218768128,208.63354,5341,218768128,4%,208.63354,5121,4%,190849792,182.00854
154,0.96%,11934,219292416,209.13354,5341,219292416,4%,209.13354,5122,4%,191374080,182.50854
155,0.96%,11934,219816704,209.63354,5341,219816704,4%,209.63354,5122,4%,191898368,183.00854
156,0.97%,11934,220340992,210.13354,5341,220340992,4%,210.13354,5122,4%,192422656,183.50854
157,0.98%,11998,220865280,210.63354,5405,220865280,4%,210.63354,5188,4%,192553728,183.63354
158,0.98%,11999,221389568,211.13354,5405,221389568,4%,211.13354,5188,4%,192684800,183.75854
159,0.99%,11999,221520640,211.25854,5405,221520640,4%,211.25854,5188,4%,192815872,183.88354
160,1.00%,11999,221651712,211.38354,5405,221651712,4%,211.38354,5188,4%,192946944,184.00854
161,1.00%,11999,221782784,211.50854,5405,221782784,4%,211.50854,5188,4%,193078016,184.13354
162,1.01%,11999,221913856,211.63354,5405,221913856,4%,211.63354,5188,4%,193209088,184.25854
163,1.01%,11999,222044928,211.75854,5405,222044928,4%,211.75854,5188,4%,193241856,184.28979
164,1.02%,11999,222176000,211.88354,5405,222176000,4%,211.88354,5188,4%,193274624,184.32104
165,1.03%,11999,222307072,212.00854,5405,222307072,4%,212.00854,5188,4%,193405696,184.44604
166,1.03%,11999,222438144,212.13354,5405,222438144,4%,212.13354,5188,4%,193536768,184.57104
167,1.04%,11999,222569216,212.25854,5405,222569216,4%,212.25854,5188,4%,193667840,184.69604
168,1.05%,11999,222700288,212.38354,5405,222700288,4%,212.38354,5188,4%,193798912,184.82104
169,1.05%,11999,232137472,221.38354,5405,232137472,4%,221.38354,5188,4%,203236096,193.82104
170,1.06%,11999,241574656,230.38354,5406,241574656,4%,230.38354,5188,4%,212673280,202.82104
171,1.06%,11999,241576704,230.38550,5406,241576704,4%,230.38550,5188,4%,212675328,202.82300
172,1.07%,11999,241578752,230.38745,5406,241578752,4%,230.38745,5188,4%,212677376,202.82495
173,1.08%,11999,241709824,230.51245,5406,241709824,4%,230.51245,5188,4%,212808448,202.94995
